1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,255
2,227
2,220
2,213
2,206
2,199
2,192
2,185
2,178
2,171
2,164
2,157
2,150
2,143
2,136
2,129
2,122
2,115
2,108
2,101
2,94
2,87
2,80
2,73
2,66
2,59
2,52
2,45
2,38
2,30
2,23
2,16
2,9
2,2
3,234
3,227
3,213
3,206
3,199
3,192
3,178
3,171
3,164
3,157
3,150
3,136
3,123
3,116
3,109
3,102
3,95
3,88
3,81
3,74
3,67
3,53
3,39
3,32
3,25
3,18
3,11
3,5
4,234
4,213
4,206
4,199
4,192
4,185
4,178
4,171
4,164
4,157
4,150
4,143
4,136
4,129
4,122
4,114
4,107
4,100
4,93
4,86
4,79
4,72
4,65
4,58
4,51
4,44
4,37
4,30
4,23
4,16
4,9
4,2
5,227
5,220
5,213
5,206
5,199
5,192
5,185
5,178
5,171
5,164
5,157
5,150
5,143
5,136
5,129
5,122
5,115
5,108
5,101
5,94
5,87
5,80
5,73
5,66
5,59
5,52
5,45
5,38
5,31
5,24
5,17
5,10
5,2
6,227
6,220
6,212
6,205
6,198
6,191
6,184
6,177
6,170
6,163
6,156
6,149
6,142
6,135
6,128
6,121
6,113
6,106
6,99
6,92
6,85
6,78
6,71
6,64
6,57
6,50
6,43
6,36
6,29
6,22
6,14
6,7
6,0
7,226
7,219
7,212
7,205
7,197
7,190
7,183
7,176
7,168
7,161
7,147
7,139
7,132
7,125
7,118
7,110
7,103
7,96
7,89
7,81
7,74
7,67
7,59
7,52
7,45
7,38
7,30
7,23
7,16
7,9
7,1
8,234
8,227
8,220
8,213
8,206
8,198
8,191
8,184
8,177
8,170
8,163
8,156
8,149
8,142
8,135
8,128
8,121
8,114
8,107
8,100
8,93
8,86
8,79
8,72
8,65
8,58
8,51
8,44
8,37
8,30
8,23
8,16
8,9
8,2
9,234
9,227
9,220
9,213
9,206
9,199
9,192
9,185
9,171
9,164
9,157
9,150
9,143
9,136
9,129
9,122
9,115
9,108
9,101
9,94
9,80
9,73
9,66
9,59
9,52
9,45
9,37
9,30
9,23
9,16
9,9
10,227
10,220
10,212
10,205
10,198
10,191
10,184
10,177
10,170
10,163
10,156
10,149
10,142
10,135
10,127
10,120
10,113
10,106
10,99
10,92
10,85
10,78
10,71
10,64
10,57
10,50
10,43
10,36
10,28
10,21
10,14
10,7
10,0
11,227
11,220
11,213
11,206
11,199
11,192
11,185
11,178
11,171
11,164
11,157
11,150
11,143
11,136
11,129
11,122
11,115
11,108
11,101
11,94
11,87
11,80
11,73
11,66
11,59
11,52
11,45
11,38
11,30
11,23
11,16
11,9
11,2
